raceId,driverId,constructorId,code,surname,driver_nationality,team_name,team_nationality,year,round,race_name,circuitId,grid,finishing_position,driver_strength_career,driver_strength_season,team_strength,driver_dnf_rate,team_dnf_rate,driver_track_form,team_track_form
900,3,131,ROS,Rosberg,German,Mercedes,German,2014,1,Australian Grand Prix,1,3,1,3.76271186440678,4.315789473684211,4.614035087719298,0.1016949152542373,0.09868421052631579,1.3333333333333333,5.888888888888889
900,825,1,MAG,Magnussen,Danish,McLaren,British,2014,1,Australian Grand Prix,1,4,2,13.56989247311828,9.842105263157896,10.326754385964913,0.6505376344086021,0.47149122807017546,12.222222222222221,9.61111111111111
900,18,1,BUT,Button,British,McLaren,British,2014,1,Australian Grand Prix,1,10,3,12.133333333333333,8.052631578947368,10.326754385964913,0.6166666666666667,0.47149122807017546,9.333333333333334,9.61111111111111
900,4,6,ALO,Alonso,Spanish,Ferrari,Italian,2014,1,Australian Grand Prix,1,5,4,10.748663101604278,7.105263157894737,6.807017543859649,0.4919786096256685,0.19956140350877194,10.285714285714286,6.722222222222222
900,822,3,BOT,Bottas,Finnish,Williams,British,2014,1,Australian Grand Prix,1,15,5,8.513157894736842,6.105263157894737,13.208791208791208,0.31140350877192985,0.621978021978022,8.444444444444445,13.0
900,807,10,HUL,Hülkenberg,German,Force India,Indian,2014,1,Australian Grand Prix,1,7,6,11.86046511627907,8.789473684210526,10.005,0.5290697674418605,0.48,7.625,9.3
900,8,6,RAI,Räikkönen,Finnish,Ferrari,Italian,2014,1,Australian Grand Prix,1,11,7,9.417721518987342,9.842105263157896,6.807017543859649,0.4177215189873418,0.19956140350877194,8.666666666666666,6.722222222222222
900,818,5,VER,Vergne,French,Toro Rosso,Italian,2014,1,Australian Grand Prix,1,6,8,12.947368421052632,12.947368421052632,12.809917355371901,0.47368421052631576,0.6859504132231405,8.0,11.0
900,826,5,KVY,Kvyat,Russian,Toro Rosso,Italian,2014,1,Australian Grand Prix,1,8,9,12.223214285714286,13.631578947368421,12.809917355371901,0.6785714285714286,0.6859504132231405,13.2,11.0
900,815,10,PER,Pérez,Mexican,Force India,Indian,2014,1,Australian Grand Prix,1,16,10,8.561946902654867,11.157894736842104,10.005,0.37610619469026546,0.48,8.444444444444445,9.3
900,16,15,SUT,Sutil,German,Sauber,Swiss,2014,1,Australian Grand Prix,1,13,11,16.42105263157895,16.42105263157895,14.737903225806452,0.8947368421052632,0.8306451612903226,11.0,13.25
900,821,15,GUT,Gutiérrez,Mexican,Sauber,Swiss,2014,1,Australian Grand Prix,1,20,12,15.5,16.0,14.737903225806452,0.925,0.8306451612903226,16.0,13.25
900,820,206,CHI,Chilton,British,Marussia,Russian,2014,1,Australian Grand Prix,1,17,13,17.125,17.125,16.806451612903224,0.9375,0.9354838709677419,13.0,13.5
900,824,206,BIA,Bianchi,French,Marussia,Russian,2014,1,Australian Grand Prix,1,18,14,16.466666666666665,16.466666666666665,16.806451612903224,0.9333333333333333,0.9354838709677419,14.0,13.5
900,154,208,GRO,Grosjean,French,Lotus F1,British,2014,1,Australian Grand Prix,1,22,15,13.514705882352942,14.736842105263158,13.842105263157896,0.7205882352941176,0.7236842105263158,14.833333333333334,15.0
900,813,208,MAL,Maldonado,Venezuelan,Lotus F1,British,2014,1,Australian Grand Prix,1,21,16,14.736842105263158,15.578947368421053,13.842105263157896,0.7105263157894737,0.7236842105263158,15.5,15.0
900,828,207,ERI,Ericsson,Swedish,Caterham,Malaysian,2014,1,Australian Grand Prix,1,19,17,14.958762886597938,17.9375,17.823529411764707,0.8762886597938144,0.9411764705882353,15.8,19.0
900,20,9,VET,Vettel,German,Red Bull,Austrian,2014,1,Australian Grand Prix,1,12,18,7.555555555555555,7.368421052631579,6.489035087719298,0.26666666666666666,0.22587719298245615,7.0,10.222222222222221
900,1,131,HAM,Hamilton,British,Mercedes,German,2014,1,Australian Grand Prix,1,1,19,3.9911894273127753,4.105263157894737,4.614035087719298,0.07048458149779736,0.09868421052631579,5.777777777777778,5.888888888888889
900,13,3,MAS,Massa,Brazilian,Williams,British,2014,1,Australian Grand Prix,1,9,20,10.064102564102564,9.526315789473685,13.208791208791208,0.46153846153846156,0.621978021978022,8.75,13.0
900,155,207,KOB,Kobayashi,Japanese,Caterham,Malaysian,2014,1,Australian Grand Prix,1,14,21,17.5,17.5,17.823529411764707,0.9375,0.9411764705882353,21.0,19.0
900,817,9,RIC,Ricciardo,Australian,Red Bull,Austrian,2014,1,Australian Grand Prix,1,2,22,9.231884057971014,6.105263157894737,6.489035087719298,0.38164251207729466,0.22587719298245615,11.25,10.222222222222221
